lon,lat,heat_flow_mW_m2,name,reference,id,ridge_lon,signed_distance_km,distance_km
-57.9,16.5833,42.0,CH-36-08,Birch_1970,R24-005261,-46.5167,-1213.1175217625182,1213.1175217625182
-57.9,16.5833,42.0,CH-36-08,Birch_1964,R24-005241,-46.5167,-1213.1175217625182,1213.1175217625182
-57.9,16.5833,42.0,CH-36-08,Birch_1964,R24-005242,-46.5167,-1213.1175217625182,1213.1175217625182
-57.9,16.5833,42.0,CH-36-08,Schoonmaker_Ladd_1984,R24-077910,-46.5167,-1213.1175217625182,1213.1175217625182
-31.1,16.63333333,41.0,V26-9,Herman_etal._1977,R24-047392,-46.433333340000004,1633.6467496238565,1633.6467496238565
-31.1,16.63333333,41.0,V26-9,Ludwig_Rabinowitz_1975,R24-060592,-46.433333340000004,1633.6467496238565,1633.6467496238565
-31.1,16.63333333,41.0,V26-9,Langseth_etal._1974,R24-053434,-46.433333340000004,1633.6467496238565,1633.6467496238565
-59.9417,16.6417,50.0,GS7304-008,Arnaiz-Rodriguez_Orihuela_2013,R24-003559,-46.4166,-1440.9307505980607,1440.9307505980607
-59.9417,16.6417,50.0,GS7304-008,Schubert_Peter_1974,R24-077969,-46.4166,-1440.9307505980607,1440.9307505980607
-59.9417,16.6417,50.0,GS7304-008,Schoonmaker_Ladd_1984,R24-077922,-46.4166,-1440.9307505980607,1440.9307505980607
-51.6167,16.7317,35.0,V22-4,Abbott_2008,R24-001563,-46.3951,-556.0344896681719,556.0344896681719
-51.617,16.733,35.0,V22-4,LDEO_2004,R24-055440,-46.399,-555.6473449837092,555.6473449837092
-59.05,16.7367,46.0,E72-3-4,Schubert_Peter_1974,R24-077968,-46.4101,-1345.9544856095144,1345.9544856095144
-59.05,16.7367,46.0,E72-3-4,Arnaiz-Rodriguez_Orihuela_2013,R24-003558,-46.4101,-1345.9544856095144,1345.9544856095144
-57.6333,16.75,11.0,CH-36-05,Schoonmaker_Ladd_1984,R24-077907,-46.45,-1190.7658832418822,1190.7658832418822
-57.6333,16.75,11.0,CH-36-05,Arnaiz-Rodriguez_Orihuela_2013,R24-003544,-46.45,-1190.7658832418822,1190.7658832418822
-57.6333,16.75,11.0,CH-36-05,Birch_1964,R24-005235,-46.45,-1190.7658832418822,1190.7658832418822
-57.6333,16.75,11.0,CH-36-05,Birch_1964,R24-005236,-46.45,-1190.7658832418822,1190.7658832418822
-58.89,16.7533,34.0,E72-3-3,Schubert_Peter_1974,R24-077967,-46.4599,-1323.4986460689306,1323.4986460689306
-58.89,16.7533,34.0,E72-3-3,Arnaiz-Rodriguez_Orihuela_2013,R24-003557,-46.4599,-1323.4986460689306,1323.4986460689306
-58.89,16.7533,34.0,E72-3-3,Schoonmaker_Ladd_1984,R24-077921,-46.4599,-1323.4986460689306,1323.4986460689306
-58.6019,16.7553,68.5,ANTI-03-05,Lucazeau_etal._2014,R24-060495,-46.46589999999999,-1292.1706809693055,1292.1706809693055
-58.6265,16.7633,74.7,ANTI-03-04,Lucazeau_etal._2014,R24-060494,-46.489900000000006,-1292.1802314189285,1292.1802314189285
-57.8167,16.7833,13.0,CH-36-06,Schoonmaker_Ladd_1984,R24-077908,-46.5499,-1199.446678818853,1199.446678818853
-57.8167,16.7833,13.0,CH-36-06,Birch_1964,R24-005238,-46.5499,-1199.446678818853,1199.446678818853
-57.8167,16.7833,13.0,CH-36-06,Arnaiz-Rodriguez_Orihuela_2013,R24-003545,-46.5499,-1199.446678818853,1199.446678818853
-57.8167,16.7833,13.0,CH-36-06,Birch_1964,R24-005237,-46.5499,-1199.446678818853,1199.446678818853
-57.63,16.85,69.9229,Chain-75-45,Schoonmaker_Ladd_1984,R24-077918,-46.6,-1173.8242314197194,1173.8242314197194
-57.63,16.85,69.9229,Chain-75-45,Birch_1970,R24-005265,-46.6,-1173.8242314197194,1173.8242314197194
-57.63,16.85,69.9229,Chain-75-45,Arnaiz-Rodriguez_Orihuela_2013,R24-003554,-46.6,-1173.8242314197194,1173.8242314197194
-58.47,16.88,45.2196,Chain-44-2,Schoonmaker_Ladd_1984,R24-077916,-46.6,-1263.0174198172008,1263.0174198172008
-58.47,16.88,45.2196,Chain-44-2,Birch_1970,R24-005263,-46.6,-1263.0174198172008,1263.0174198172008
-58.47,16.88,45.2196,Chain-44-2,Arnaiz-Rodriguez_Orihuela_2013,R24-003552,-46.6,-1263.0174198172008,1263.0174198172008
-58.2933,16.9017,41.0,GS7304-013,Arnaiz-Rodriguez_Orihuela_2013,R24-003561,-46.594899999999996,-1244.6153228102032,1244.6153228102032
-58.2933,16.9017,41.0,GS7304-013,Schubert_Peter_1974,R24-077971,-46.594899999999996,-1244.6153228102032,1244.6153228102032
-58.2933,16.9017,41.0,GS7304-013,Schoonmaker_Ladd_1984,R24-077924,-46.594899999999996,-1244.6153228102032,1244.6153228102032
-57.63,16.92,61.5489,Chain-75-45A,Arnaiz-Rodriguez_Orihuela_2013,R24-003555,-46.53999999999999,-1179.7719059955043,1179.7719059955043
-57.63,16.92,61.5489,Chain-75-45A,Schoonmaker_Ladd_1984,R24-077919,-46.53999999999999,-1179.7719059955043,1179.7719059955043
-57.63,16.92,61.5489,Chain-75-45A,Birch_1970,R24-005266,-46.53999999999999,-1179.7719059955043,1179.7719059955043
-58.4,16.95,18.0,CH-36-09,Birch_1964,R24-005244,-46.45,-1271.0574170488646,1271.0574170488646
-58.4,16.95,18.0,CH-36-09,Birch_1964,R24-005243,-46.45,-1271.0574170488646,1271.0574170488646
-58.4,16.95,18.0,CH-36-09,Schoonmaker_Ladd_1984,R24-077911,-46.45,-1271.0574170488646,1271.0574170488646
-58.4,16.95,18.0,CH-36-09,Arnaiz-Rodriguez_Orihuela_2013,R24-003548,-46.45,-1271.0574170488646,1271.0574170488646
-35.83333333,17.2,59.079,V23-065,Herman_etal._1977,R24-047330,-46.3,1111.7921246049038,1111.7921246049038
-35.83333333,17.2,59.079,V23-065,Langseth_etal._1970,R24-053125,-46.3,1111.7921246049038,1111.7921246049038
-32.35,17.21666667,61.174,V23-064,Herman_etal._1977,R24-047329,-46.366666679999994,1488.7467265004395,1488.7467265004395
-32.35,17.21666667,61.174,V23-064,Langseth_etal._1970,R24-053124,-46.366666679999994,1488.7467265004395,1488.7467265004395
-32.35,17.2167,61.0,V23-064,Ludwig_Rabinowitz_1975,R24-060588,-46.3668,1488.7606184050644,1488.7606184050644
-47.35,17.26666667,29.749,V23-070,Herman_etal._1977,R24-047334,-46.56666668,-83.17734500830586,83.17734500830586
-47.35,17.26666667,29.749,V23-070,Langseth_etal._1970,R24-053129,-46.56666668,-83.17734500830586,83.17734500830586
-46.75,17.26666667,270.255,V23-069,Herman_etal._1977,R24-047333,-46.56666668,-19.467037109002696,19.467037109002696
-46.75,17.26666667,270.255,V23-069,Langseth_etal._1970,R24-053128,-46.56666668,-19.467037109002696,19.467037109002696
-45.06666667,17.36666667,25.978,V23-068,Langseth_etal._1970,R24-053127,-46.7,173.33926447363459,173.33926447363459
-45.06666667,17.36666667,25.978,V23-068,Herman_etal._1977,R24-047332,-46.7,173.33926447363459,173.33926447363459
-39.01666667,17.41666667,110.616,V23-066,Langseth_etal._1970,R24-053126,-46.7,815.1792023206352,815.1792023206352
-39.01666667,17.41666667,110.616,V23-066,Herman_etal._1977,R24-047331,-46.7,815.1792023206352,815.1792023206352
-57.72,17.58,50.244,Chain-75-46,Schoonmaker_Ladd_1984,R24-077920,-46.779999999999994,-1159.6593216451208,1159.6593216451208
-57.72,17.58,50.244,Chain-75-46,Arnaiz-Rodriguez_Orihuela_2013,R24-003556,-46.779999999999994,-1159.6593216451208,1159.6593216451208
-57.72,17.58,50.244,Chain-75-46,Birch_1970,R24-005267,-46.779999999999994,-1159.6593216451208,1159.6593216451208
-27.0333,17.6167,89.0,V22-038,Herman_etal._1977,R24-047318,-46.8,2094.8794517464785,2094.8794517464785
-27.0333,17.6167,89.0,V22-038,Ludwig_Rabinowitz_1975,R24-060582,-46.8,2094.8794517464785,2094.8794517464785
-29.8667,17.7,51.0,V23-063,Ludwig_Rabinowitz_1975,R24-060587,-46.8,1793.7646773355593,1793.7646773355593
-29.86666667,17.7,50.699,V23-063,Langseth_etal._1970,R24-053123,-46.8,1793.7682080222357,1793.7682080222357
-29.86666667,17.7,50.699,V23-063,Herman_etal._1977,R24-047328,-46.8,1793.7682080222357,1793.7682080222357
-24.6267,17.93,51.4,CVC-1,Courtney_White_1986,R24-025571,-46.67999999999999,2333.120723748731,2333.120723748731
-24.6233,17.9333,52.1,CVC-2,Courtney_White_1986,R24-025581,-46.666799999999995,2332.040471164569,2332.040471164569
-24.6183,17.9383,52.6,CVC-3,Courtney_White_1986,R24-025585,-46.646799999999985,2330.3877549955064,2330.3877549955064
-24.6133,17.9417,49.6,CVC-4,Courtney_White_1986,R24-025586,-46.63319999999999,2329.4332092952773,2329.4332092952773
-24.5933,17.945,49.7,CVC-6,Courtney_White_1986,R24-025588,-46.61999999999999,2330.1091057476187,2330.1091057476187
-24.6067,17.9467,55.6,CVC-5,Courtney_White_1986,R24-025587,-46.61319999999999,2327.9498646137026,2327.9498646137026
-24.5833,17.9467,59.6,CVC-7,Courtney_White_1986,R24-025589,-46.61319999999999,2330.4252253858367,2330.4252253858367
-24.59,17.9683,64.4,CVC-8,Courtney_White_1986,R24-025590,-46.5268,2320.293157491757,2320.293157491757
-24.595,17.9933,53.9,CVC-9,Courtney_White_1986,R24-025591,-46.42679999999999,2308.8601425530705,2308.8601425530705
-24.56,18.0017,52.9,CVD1-13,Courtney_White_1986,R24-025596,-46.4,2309.617341315736,2309.617341315736
-24.585,18.0033,70.3,CVC-10,Courtney_White_1986,R24-025572,-46.4,2306.9526133043873,2306.9526133043873
-24.5533,18.0033,51.3,CVD1-14,Courtney_White_1986,R24-025597,-46.4,2310.3049120823725,2310.3049120823725
-24.545,18.0033,51.9,CVD1-15,Courtney_White_1986,R24-025598,-46.4,2311.182643308154,2311.182643308154
-24.58,18.01,63.5,CVRISEC,Courtney_White_1986,R24-025682,-46.4,2307.393660986516,2307.393660986516
-24.575,18.0117,56.9,CVC-11,Courtney_White_1986,R24-025573,-46.4,2307.9001307417143,2307.9001307417143
-52.5,18.0167,77.1,V25-69,Abbott_2008,R24-001580,-46.4,-645.0305285304328,645.0305285304328
-52.5,18.017,77.0,V25-69,LDEO_2004,R24-055447,-46.4,-645.029430058491,645.029430058491
-59.1167,18.05,56.0,VFZ-19,VonHerzen_etal._1970,R24-086490,-46.4,-1344.443901183731,1344.443901183731
-59.1167,18.05,56.0,VFZ-19,Schoonmaker_Ladd_1984,R24-077939,-46.4,-1344.443901183731,1344.443901183731
-59.1167,18.05,56.0,VFZ-19,Folinsbee_1969,R24-035395,-46.4,-1344.443901183731,1344.443901183731
-59.1167,18.05,56.0,VFZ-19,Arnaiz-Rodriguez_Orihuela_2013,R24-003661,-46.4,-1344.443901183731,1344.443901183731
-55.2717,18.1083,94.6,V31-30,Abbott_2008,R24-001738,-46.4,-937.6286037703417,937.6286037703417
-24.5667,18.19,58.0,CVC-12,Courtney_White_1986,R24-025574,-46.4,2306.4305601600445,2306.4305601600445
-24.5617,18.26,56.8,CVC-13,Courtney_White_1986,R24-025575,-46.4,2306.03090508101,2306.03090508101
-24.5533,18.31,56.4,CVC-14,Courtney_White_1986,R24-025576,-46.4,2306.2527986951923,2306.2527986951923
-24.545,18.37,74.5,CVC-15,Courtney_White_1986,R24-025577,-46.4,2306.328235576273,2306.328235576273
-21.055,18.453333,63.0,V30-041,Herman_etal._1977,R24-047497,-46.4,2673.3285391747763,2673.3285391747763
-59.9817,18.4817,123.0,V20-2,Abbott_2008,R24-001383,-46.4,-1432.3276111089529,1432.3276111089529
-24.5333,18.5,60.5,CVC-16,Courtney_White_1986,R24-025578,-46.4,2305.818342943914,2305.818342943914
-28.15,18.55,76.0,V23-062,Ludwig_Rabinowitz_1975,R24-060586,-46.45,1929.1497428694984,1929.1497428694984
-28.15,18.55,75.839,V23-062,Langseth_etal._1970,R24-053122,-46.45,1929.1497428694984,1929.1497428694984
-28.15,18.55,75.839,V23-062,Herman_etal._1977,R24-047327,-46.45,1929.1497428694984,1929.1497428694984
-24.5283,18.71,67.9,CVC-17,Courtney_White_1986,R24-025579,-46.5,2314.0335840347707,2314.0335840347707
-24.63,18.9083,54.7,CVD1-1,Courtney_White_1986,R24-025592,-46.3,2279.5700747444253,2279.5700747444253
-24.6333,18.9167,51.5,CVD1-2,Courtney_White_1986,R24-025600,-46.3,2279.108447875032,2279.108447875032
-24.61,18.9167,48.5,CVD2-1,Courtney_White_1986,R24-025608,-46.3,2281.5593622660326,2281.5593622660326
-24.63,18.9267,52.8,CVD1-3,Courtney_White_1986,R24-025601,-46.3,2279.3191977138135,2279.3191977138135
-24.6167,18.9267,45.6,CVD1-4,Courtney_White_1986,R24-025602,-46.3,2280.718133815779,2280.718133815779
-24.6117,18.9267,50.3,CVD2-2,Courtney_White_1986,R24-025615,-46.3,2281.2440496435856,2281.2440496435856
-24.6067,18.93,52.7,CVD1-5,Courtney_White_1986,R24-025603,-46.3,2281.7248979550363,2281.7248979550363
-24.6117,18.9317,50.5,CVD2-3,Courtney_White_1986,R24-025616,-46.3,2281.175778313117,2281.175778313117
-24.6033,18.9417,53.0,CVD2-4,Courtney_White_1986,R24-025617,-46.3,2281.922642781184,2281.922642781184
-24.5917,18.9433,54.6,CVD2-5,Courtney_White_1986,R24-025618,-46.3,2283.120776156556,2283.120776156556
-24.5983,18.945,53.6,CVD1-6,Courtney_White_1986,R24-025604,-46.3,2282.403391994872,2282.403391994872
-24.5833,18.9483,49.0,CVD2-6,Courtney_White_1986,R24-025619,-46.3,2283.935808456143,2283.935808456143
-24.5833,18.9483,48.7,CVD2-7,Courtney_White_1986,R24-025620,-46.3,2283.935808456143,2283.935808456143
-24.58,18.95,54.3,CVRISED,Courtney_White_1986,R24-025683,-46.3,2284.2595982276666,2284.2595982276666
-24.5933,18.9533,49.5,CVD1-7,Courtney_White_1986,R24-025605,-46.3,2282.8157084863583,2282.8157084863583
-24.5733,18.9533,51.5,CVD2-8,Courtney_White_1986,R24-025621,-46.3,2284.91903668317,2284.91903668317
-24.5683,18.955,49.9,CVD2-9,Courtney_White_1986,R24-025622,-46.3,2285.421580499659,2285.421580499659
-24.5867,18.9617,50.7,CVD1-8,Courtney_White_1986,R24-025606,-46.3,2283.394813379699,2283.394813379699
-24.5667,18.9617,54.7,CVD2-10,Courtney_White_1986,R24-025609,-46.3,2285.4980356567175,2285.4980356567175
-24.5633,18.9633,49.7,CVD2-11,Courtney_White_1986,R24-025610,-46.3,2285.833650761289,2285.833650761289
-24.5583,18.9633,52.4,CVD2-12,Courtney_White_1986,R24-025611,-46.3,2286.3594512854625,2286.3594512854625
-24.5467,18.9667,55.0,CVD2-13,Courtney_White_1986,R24-025612,-46.3,2287.53266003505,2287.53266003505
-24.5333,18.9717,52.2,CVD2-14,Courtney_White_1986,R24-025613,-46.3,2288.873119118273,2288.873119118273
-24.5817,18.9733,49.0,CVD1-9,Courtney_White_1986,R24-025607,-46.3,2283.761701252617,2283.761701252617
-24.4983,18.9767,54.1,CVD2-16,Courtney_White_1986,R24-025614,-46.3,2292.4847518899956,2292.4847518899956
-24.5817,18.9817,51.2,CVD1-10,Courtney_White_1986,R24-025593,-46.3,2283.6465644838313,2283.6465644838313
-24.575,18.9917,51.0,CVD1-11,Courtney_White_1986,R24-025594,-46.3,2284.213885517119,2284.213885517119
-24.5667,18.9983,53.2,CVD1-12,Courtney_White_1986,R24-025595,-46.3,2284.9959581366093,2284.9959581366093
-24.54,19.0,56.6,CVD1-16,Courtney_White_1986,R24-025599,-46.3,2287.7797711795483,2287.7797711795483
-29.15,19.0167,67.0,V22-039,Herman_etal._1977,R24-047319,-46.3,1802.9174492842442,1802.9174492842442
-29.15,19.0167,67.0,V22-039,Ludwig_Rabinowitz_1975,R24-060583,-46.3,1802.9174492842442,1802.9174492842442
-24.5083,19.03,61.7,CVC-19,Courtney_White_1986,R24-025580,-46.3,2290.699234487104,2290.699234487104
-38.1667,19.0667,42.0,V20-219,Langseth_etal._1966,R24-053098,-46.3,854.766913045104,854.766913045104
