lon,lat,seafloor_age_Ma,source
-44.3,10.0,24.85731315612793,EarthByte_Seton_2020_GeeK2007
-44.2,10.0,24.213895797729492,EarthByte_Seton_2020_GeeK2007
-44.1,10.0,23.56966781616211,EarthByte_Seton_2020_GeeK2007
-44.0,10.0,22.924467086791992,EarthByte_Seton_2020_GeeK2007
-43.9,10.0,22.27849006652832,EarthByte_Seton_2020_GeeK2007
-43.8,10.0,21.5067195892334,EarthByte_Seton_2020_GeeK2007
-43.7,10.0,20.727476119995117,EarthByte_Seton_2020_GeeK2007
-43.6,10.0,20.288820266723633,EarthByte_Seton_2020_GeeK2007
-43.5,10.0,19.49272346496582,EarthByte_Seton_2020_GeeK2007
-43.4,10.0,18.568445205688477,EarthByte_Seton_2020_GeeK2007
-43.3,10.0,17.681468963623047,EarthByte_Seton_2020_GeeK2007
-43.2,10.0,16.84847068786621,EarthByte_Seton_2020_GeeK2007
-43.1,10.0,16.284875869750977,EarthByte_Seton_2020_GeeK2007
-43.0,10.0,15.366215705871582,EarthByte_Seton_2020_GeeK2007
-42.9,10.0,14.76375675201416,EarthByte_Seton_2020_GeeK2007
-42.8,10.0,13.770729064941406,EarthByte_Seton_2020_GeeK2007
-42.7,10.0,13.127702713012695,EarthByte_Seton_2020_GeeK2007
-42.6,10.0,12.056188583374023,EarthByte_Seton_2020_GeeK2007
-42.5,10.0,11.379642486572266,EarthByte_Seton_2020_GeeK2007
-42.4,10.0,10.805604934692383,EarthByte_Seton_2020_GeeK2007
-42.3,10.0,10.155035972595215,EarthByte_Seton_2020_GeeK2007
-42.2,10.0,9.499048233032227,EarthByte_Seton_2020_GeeK2007
-42.1,10.0,8.828446388244629,EarthByte_Seton_2020_GeeK2007
-42.0,10.0,8.206137657165527,EarthByte_Seton_2020_GeeK2007
-41.9,10.0,7.529770851135254,EarthByte_Seton_2020_GeeK2007
-41.8,10.0,6.876209735870361,EarthByte_Seton_2020_GeeK2007
-41.7,10.0,6.221580505371094,EarthByte_Seton_2020_GeeK2007
-41.6,10.0,5.5682501792907715,EarthByte_Seton_2020_GeeK2007
-41.5,10.0,4.913336753845215,EarthByte_Seton_2020_GeeK2007
-41.4,10.0,4.261898994445801,EarthByte_Seton_2020_GeeK2007
-41.3,10.0,3.6081502437591553,EarthByte_Seton_2020_GeeK2007
-41.2,10.0,2.954087734222412,EarthByte_Seton_2020_GeeK2007
-41.1,10.0,2.2985453605651855,EarthByte_Seton_2020_GeeK2007
-41.0,10.0,1.645627737045288,EarthByte_Seton_2020_GeeK2007
-40.9,10.0,1.2108142375946045,EarthByte_Seton_2020_GeeK2007
-40.8,10.0,0.3206387758255005,EarthByte_Seton_2020_GeeK2007
-40.7,10.0,0.7887598276138306,EarthByte_Seton_2020_GeeK2007
-40.6,10.0,1.3613922595977783,EarthByte_Seton_2020_GeeK2007
-40.5,10.0,2.2149131298065186,EarthByte_Seton_2020_GeeK2007
-40.4,10.0,3.102893829345703,EarthByte_Seton_2020_GeeK2007
-40.3,10.0,3.9886538982391357,EarthByte_Seton_2020_GeeK2007
-40.2,10.0,4.874327182769775,EarthByte_Seton_2020_GeeK2007
-40.1,10.0,5.758148670196533,EarthByte_Seton_2020_GeeK2007
-40.0,10.0,6.637578964233398,EarthByte_Seton_2020_GeeK2007
-39.9,10.0,7.523083686828613,EarthByte_Seton_2020_GeeK2007
-39.8,10.0,8.40084457397461,EarthByte_Seton_2020_GeeK2007
-39.7,10.0,9.281810760498047,EarthByte_Seton_2020_GeeK2007
-39.6,10.0,10.159061431884766,EarthByte_Seton_2020_GeeK2007
-39.5,10.0,10.94165325164795,EarthByte_Seton_2020_GeeK2007
-39.4,10.0,11.620668411254883,EarthByte_Seton_2020_GeeK2007
-39.3,10.0,12.27065372467041,EarthByte_Seton_2020_GeeK2007
-39.2,10.0,12.912251472473145,EarthByte_Seton_2020_GeeK2007
