"lon","lat","heat_flow_mW_m2","name","reference","id"
"-58.2217","14.3833","30","RC26-7B","Langseth_etal._1990","R24-053879"
"-58.215","14.3833","30","C26-7B","Abbott_2008","R24-000732"
"-58.1917","14.3833","49","RC26-6H","Langseth_etal._1990","R24-053877"
"-58.24","14.385","7","C26-7I","Abbott_2008","R24-000736"
"-58.235","14.385","3","C26-7G","Abbott_2008","R24-000734"
"-58.2317","14.385","13","RC26-7D","Langseth_etal._1990","R24-053880"
"-58.225","14.385","13","C26-7D","Abbott_2008","R24-000733"
"-58.21","14.385","21","RC26-7A","Langseth_etal._1990","R24-053878"
"-58.205","14.385","21","C26-7A","Abbott_2008","R24-000731"
"-58.175","14.385","33","C26-6C","Abbott_2008","R24-000728"
"-58.236","14.3857","3","C26-7G","LDEO_2004","R24-055237"
"-58.24","14.3862","7","C26-7I","LDEO_2004","R24-055238"
"-58.415","14.3867","7","RC26-7I","Langseth_etal._1990","R24-053882"
"-58.1817","14.3867","29","C26-6G","Abbott_2008","R24-000729"
"-58.18","14.3867","34","RC26-6C","Langseth_etal._1990","R24-053876"
"-58.3517","14.3883","9","C26-11B","Abbott_2008","R24-000649"
"-58.3517","14.3883","9","RC26-11B","Langseth_etal._1990","R24-053799"
"-58.3967","14.39","22","C26-11E","Abbott_2008","R24-000652"
"-58.3683","14.3917","19","C26-11C","Abbott_2008","R24-000650"
"-58.335","14.3917","17","C26-11A","Abbott_2008","R24-000648"
"-58.4133","14.3933","17","C26-11F","Abbott_2008","R24-000653"
"-58.3817","14.3933","20","C26-11D","Abbott_2008","R24-000651"
"-58.3733","14.3933","19","RC26-11C","Langseth_etal._1990","R24-053800"
"-58.3367","14.3933","17","RC26-11A","Langseth_etal._1990","R24-053798"
"-58.4117","14.395","22","RC26-11E","Langseth_etal._1990","R24-053802"
"-58.3883","14.395","20","RC26-11D","Langseth_etal._1990","R24-053801"
"-58.7267","14.4017","37","C26-12C","Abbott_2008","R24-000655"
"-58.4317","14.4017","17","RC26-11F","Langseth_etal._1990","R24-053803"
"-58.728","14.4018","37","C26-12C","LDEO_2004","R24-055232"
"-58.7183","14.41","74","RC26-12B","Langseth_etal._1990","R24-053804"
"-58.785","14.4117","52","RC26-12G","Langseth_etal._1990","R24-053808"
"-58.7417","14.4117","37","RC26-12C","Langseth_etal._1990","R24-053805"
"-58.7883","14.4133","51","C26-12G","Abbott_2008","R24-000658"
"-58.7517","14.4167","39","RC26-12E","Langseth_etal._1990","R24-053806"
"-58.7633","14.4183","51","C26-12F","Abbott_2008","R24-000657"
"-58.7633","14.4183","53","RC26-12F","Langseth_etal._1990","R24-053807"
"-58.7483","14.42","39","C26-12E","Abbott_2008","R24-000656"
"-57.6783","14.5633","43","C26-9D","Abbott_2008","R24-000743"
"-57.7","14.565","44","RC26-9D","Langseth_etal._1990","R24-053889"
"-57.6117","14.565","75","C26-8C","Abbott_2008","R24-000739"
"-57.5817","14.565","49","RC26-8A","Langseth_etal._1990","R24-053883"
"-57.5767","14.565","49","C26-8A","Abbott_2008","R24-000737"
"-57.6067","14.5667","47","C26-8B","Abbott_2008","R24-000738"
"-57.6017","14.5667","46","RC26-8B","Langseth_etal._1990","R24-053884"
"-57.7067","14.5683","38","RC26-9E","Langseth_etal._1990","R24-053890"
"-57.705","14.5683","37","C26-9F","Abbott_2008","R24-000745"
"-57.695","14.5683","37","C26-9E","Abbott_2008","R24-000744"
"-57.61","14.5683","75","RC26-8C","Langseth_etal._1990","R24-053885"
"-57.706","14.5688","37","C26-9F","LDEO_2004","R24-055239"
"-58.71","14.5717","74","C26-12B","Abbott_2008","R24-000654"
"-57.6783","14.5717","43","RC26-9C","Langseth_etal._1990","R24-053888"
"-57.6617","14.5717","41","C26-9C","Abbott_2008","R24-000742"
"-58.711","14.5723","74","C26-12B","LDEO_2004","R24-055231"
"-57.6583","14.5733","37","RC26-9B","Langseth_etal._1990","R24-053887"
"-57.6467","14.5733","38","C26-9B","Abbott_2008","R24-000741"
"-57.6333","14.575","40","C26-9A","Abbott_2008","R24-000740"
"-57.6433","14.59","39","RC26-9A","Langseth_etal._1990","R24-053886"
"-47.926667","14.89","28","V22-005","Herman_etal._1977","R24-047314"
"-58.3167","14.9833","30","LSDA-134","Arnaiz-Rodriguez_Orihuela_2013","R24-003562"
"-58.3167","14.9833","30","LSDA-134","Schoonmaker_Ladd_1984","R24-077925"
"-58.3167","14.9833","30","LSDA-134","Vacquier_VonHerzen_1964","R24-085051"
"-20.951667","15.02","49","V29-121","Herman_etal._1977","R24-047477"
