lon,lat,chron,anomaly_end,quality,age_Ma,reference,doi,method,source
-47.0568,15.5623,C2An.1n,y,1,2.581,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-46.4557,15.5623,C2An.1n,y,1,2.581,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-46.321,15.565,C2An.3n,o,1,3.58,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-46.9317,15.5697,C2n,y,1,1.77,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-46.53409999999999,15.5706,C2n,y,1,1.77,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-46.773599999999995,15.5711,C1n,o,1,0.78,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-46.2576,15.578700000000001,C3n.1n,y,1,4.18,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-46.30289999999998,15.5831,C2An.3n,o,1,3.58,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-47.05829999999999,15.5877,C2An.1n,y,1,2.581,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-46.5258,15.5915,C2n,y,1,1.77,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-46.4339,15.591699999999998,C2An.1n,y,1,2.581,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-46.017,15.595800000000002,C3An.1n,y,1,5.894,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-46.1405,15.600799999999998,C3n.4n,o,1,5.23,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-47.064099999999996,15.604999999999999,C2An.1n,y,1,2.581,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-46.305,15.607400000000002,C2An.3n,o,1,3.58,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-46.57139999999999,15.6082,C1n,o,1,0.78,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-46.764,15.6148,C1n,o,1,0.78,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-46.31400000000001,15.616999999999999,C2An.3n,o,1,3.58,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
-46.0561,15.618100000000002,C3An.1n,y,1,5.894,Merkouriev+DeMets_2013_GJI,10.1093/gji/ggt463,Magnetic Anomaly,GSFML_Seton_2020_preferred_picks
