lon,lat,depth_m,source,dist_km,slope_m_per_km
-42.0,26.0,-3860.8,ETOPO_2022_v1_15s_bed_elev,899.472042421218,11.684854563915366
-41.9,26.0,-3919.5,ETOPO_2022_v1_15s_bed_elev,909.4661762258984,2.987252380593361
-41.8,26.0,-3801.09,ETOPO_2022_v1_15s_bed_elev,919.4603100305787,-12.943092670967332
-41.7,26.0,-4178.21,ETOPO_2022_v1_15s_bed_elev,929.4544438352583,-11.100511777025702
-41.6,26.0,-4022.97,ETOPO_2022_v1_15s_bed_elev,939.4485776399387,-0.11456720736137527
-41.5,26.0,-4180.5,ETOPO_2022_v1_15s_bed_elev,949.4427114446191,-13.748565176869135
-41.4,26.0,-4297.78,ETOPO_2022_v1_15s_bed_elev,959.4368452492995,3.2989352198349593
-41.3,26.0,-4114.56,ETOPO_2022_v1_15s_bed_elev,969.4309790539796,21.66420864793858
-41.2,26.0,-3864.75,ETOPO_2022_v1_15s_bed_elev,979.4251128586593,11.938503359254383
-41.1,26.0,-3875.93,ETOPO_2022_v1_15s_bed_elev,989.4192466633398,-2.1077364393636344
-41.0,26.0,-3906.88,ETOPO_2022_v1_15s_bed_elev,999.4133804680199,-13.098683943844037
-40.9,26.0,-4137.75,ETOPO_2022_v1_15s_bed_elev,1009.4075142727005,-20.238372224441918
-40.8,26.0,-4311.41,ETOPO_2022_v1_15s_bed_elev,1019.4016480773806,-15.646178353823643
-40.7,26.0,-4450.49,ETOPO_2022_v1_15s_bed_elev,1029.3957818820602,14.01372072228952
-40.6,26.0,-4031.3,ETOPO_2022_v1_15s_bed_elev,1039.3899156867406,15.986878215016475
-40.5,26.0,-4130.94,ETOPO_2022_v1_15s_bed_elev,1049.3840494914211,-24.338777602325678
-40.4,26.0,-4517.79,ETOPO_2022_v1_15s_bed_elev,1059.3781832961015,-14.855714652376406
-40.3,26.0,-4427.88,ETOPO_2022_v1_15s_bed_elev,1069.3723171007819,-3.335956937498622
-40.2,26.0,-4584.47,ETOPO_2022_v1_15s_bed_elev,1079.3664509054613,9.938330018502143
-40.1,26.0,-4229.23,ETOPO_2022_v1_15s_bed_elev,1089.3605847101417,-3.075304033412692
-40.0,26.0,-4645.94,ETOPO_2022_v1_15s_bed_elev,1099.354718514822,-24.926122150109393
-39.9,26.0,-4727.46,ETOPO_2022_v1_15s_bed_elev,1109.3488523195024,-17.81695177190946
-39.8,26.0,-5002.07,ETOPO_2022_v1_15s_bed_elev,1119.3429861241827,-22.862411537155992
-39.7,26.0,-5184.44,ETOPO_2022_v1_15s_bed_elev,1129.3371199288624,4.378568553834327
-39.6,26.0,-4914.55,ETOPO_2022_v1_15s_bed_elev,1139.3312537335428,37.617066906183
-39.5,26.0,-4432.54,ETOPO_2022_v1_15s_bed_elev,1149.325387538223,12.154129849965017
-39.4,26.0,-4671.61,ETOPO_2022_v1_15s_bed_elev,1159.3195213429033,-13.21425173816985
-39.3,26.0,-4696.67,ETOPO_2022_v1_15s_bed_elev,1169.3136551475834,-15.608156049197248
-39.2,26.0,-4983.59,ETOPO_2022_v1_15s_bed_elev,1179.3077889522633,-13.31681190196636
-39.1,26.0,-4962.85,ETOPO_2022_v1_15s_bed_elev,1189.301922756944,8.7056068790329
-39.0,26.0,-4809.58,ETOPO_2022_v1_15s_bed_elev,1199.2960565616243,18.521865287946582
-38.9,26.0,-4592.63,ETOPO_2022_v1_15s_bed_elev,1209.2901903663044,-2.409413408965719
-38.8,26.0,-4857.74,ETOPO_2022_v1_15s_bed_elev,1219.2843241709847,-18.384284580416164
-38.7,26.0,-4960.1,ETOPO_2022_v1_15s_bed_elev,1229.2784579756644,-11.735884499072512
-38.6,26.0,-5092.32,ETOPO_2022_v1_15s_bed_elev,1239.2725917803446,0.236138523469549
-38.5,26.0,-4955.38,ETOPO_2022_v1_15s_bed_elev,1249.2667255850251,10.596716240721264
-38.4,26.0,-4880.51,ETOPO_2022_v1_15s_bed_elev,1259.2608593897055,-2.946228315075558
-38.3,26.0,-5014.27,ETOPO_2022_v1_15s_bed_elev,1269.2549931943856,-1.8015568284230596
-38.2,26.0,-4916.52,ETOPO_2022_v1_15s_bed_elev,1279.2491269990653,7.40984676083923
-38.1,26.0,-4866.16,ETOPO_2022_v1_15s_bed_elev,1289.243260803746,-2.8476704991357735
-38.0,26.0,-4973.44,ETOPO_2022_v1_15s_bed_elev,1299.237394608426,-7.761052785152515
-37.9,26.0,-5021.29,ETOPO_2022_v1_15s_bed_elev,1309.2315284131064,0.03401995677108971
-37.8,26.0,-4972.76,ETOPO_2022_v1_15s_bed_elev,1319.2256622177867,13.934674352147596
-37.7,26.0,-4742.76,ETOPO_2022_v1_15s_bed_elev,1329.2197960224664,-0.26715671934809393
-37.6,26.0,-4978.1,ETOPO_2022_v1_15s_bed_elev,1339.2139298271468,-1.7670365781699786
-37.5,26.0,-4778.08,ETOPO_2022_v1_15s_bed_elev,1349.208063631827,14.15180172330372
-37.4,26.0,-4695.23,ETOPO_2022_v1_15s_bed_elev,1359.2021974365073,4.398079999630966
-37.3,26.0,-4690.17,ETOPO_2022_v1_15s_bed_elev,1369.1963312411879,-8.912228087070275
-37.2,26.0,-4873.37,ETOPO_2022_v1_15s_bed_elev,1379.1904650458675,-27.356547885317497
-37.1,26.0,-5236.98,ETOPO_2022_v1_15s_bed_elev,1389.1845988505477,-21.847316062323813
-37.0,26.0,-5310.06,ETOPO_2022_v1_15s_bed_elev,1399.1787326552283,-4.549168631173075
-36.9,26.0,-5327.91,ETOPO_2022_v1_15s_bed_elev,1409.1728664599086,14.504008334581357
-36.8,26.0,-5020.15,ETOPO_2022_v1_15s_bed_elev,1419.1670002645888,11.730381270770522
-36.7,26.0,-5093.44,ETOPO_2022_v1_15s_bed_elev,1429.1611340692684,-13.789589242387706
-36.6,26.0,-5295.78,ETOPO_2022_v1_15s_bed_elev,1439.1552678739486,-28.98050052765572
-36.5,26.0,-5672.71,ETOPO_2022_v1_15s_bed_elev,1449.149401678629,-8.14377729882807
-36.4,26.0,-5458.56,ETOPO_2022_v1_15s_bed_elev,1459.1435354833095,0.2156264907105765
-36.3,26.0,-5668.4,ETOPO_2022_v1_15s_bed_elev,1469.1376692879899,-15.399033373750626
-36.2,26.0,-5766.36,ETOPO_2022_v1_15s_bed_elev,1479.1318030926693,11.81142881484169
-36.1,26.0,-5432.31,ETOPO_2022_v1_15s_bed_elev,1489.1259368973497,18.812035507464657
-36.0,26.0,-5390.34,ETOPO_2022_v1_15s_bed_elev,1499.12007070203,9.293952013780427
-35.9,26.0,-5246.54,ETOPO_2022_v1_15s_bed_elev,1509.1142045067104,13.681525850290825
-35.8,26.0,-5116.87,ETOPO_2022_v1_15s_bed_elev,1519.1083383113908,10.476645805058808
-35.7,26.0,-5037.13,ETOPO_2022_v1_15s_bed_elev,1529.1024721160707,3.8802762458354323
-35.6,26.0,-5039.31,ETOPO_2022_v1_15s_bed_elev,1539.0966059207508,-3.6651500486060513
-35.5,26.0,-5110.39,ETOPO_2022_v1_15s_bed_elev,1549.0907397254311,-7.669999371441577
-35.4,26.0,-5192.62,ETOPO_2022_v1_15s_bed_elev,1559.0848735301113,-6.261172926331682
-35.3,26.0,-5235.54,ETOPO_2022_v1_15s_bed_elev,1569.0790073347916,-3.273920545738349
-35.2,26.0,-5258.06,ETOPO_2022_v1_15s_bed_elev,1579.0731411394713,-3.9197994309076876
-35.1,26.0,-5313.89,ETOPO_2022_v1_15s_bed_elev,1589.0672749441514,-4.751787491354094
-35.0,26.0,-5353.04,ETOPO_2022_v1_15s_bed_elev,1599.0614087488323,-3.9172979634976963
